entity,country,indigenous_to_name,indigenous_to_entity,latitude,longitude,location_entity,location_name
Q12627315,Philippines,Davao Region,Q13694,,,,
Q12627315,Philippines,Bukidnon,Q13753,,,,
Q12627315,Philippines,Davao de Oro,Q13789,,,,
Q12627315,Philippines,Davao del Sur,Q13794,,,,
Q12627315,Philippines,Davao del Norte,Q13792,,,,
Q32093046,,,,17.0,-97.75,,
Q32093046,Mexico,,,,,,
Q32093046,Mexico,Oaxaca,Q34110,,,,
Q12953721,,,,17.0,-97.75,,
Q12953721,Mexico,,,,,,
Q12953721,Mexico,Oaxaca,Q34110,,,,
Q56590,,,,48.0,-74.0,,
Q56590,Canada,,,,,,
Q56590,Canada,Quebec,Q176,,,,
Q3446608,,,,-3.58333333333,142.083333333,,
Q3446608,Papua New Guinea,,,,,,
Q3446608,Papua New Guinea,Sandaun Province,Q753689,,,,
Q4827334,Indonesia,,,,,,
Q4827334,Indonesia,Papua,Q5095,,,,
Q34796,,,,6.83333333333,0.416666666667,,
Q34796,Ghana,,,,,,
Q34796,Ghana,Volta Region,Q712832,,,,
Q56685,,,,4.66666666667,30.0,,
Q56685,Democratic Republic of the Congo,,,,,,
Q56685,South Sudan,,,,,,
Q56685,Democratic Republic of the Congo,Haut-Uele,Q751632,,,,
Q56685,South Sudan,Central Equatoria,Q487709,,,,
Q56685,South Sudan,Western Equatoria,Q319979,,,,
Q2874650,,,,-6.66666666667,145.75,,
Q2874650,Papua New Guinea,,,,,,
Q2874650,Papua New Guinea,Eastern Highlands Province,Q849812,,,,
Q2603103,,,,1.5,-78.25,,
Q2603103,Colombia,,,,,,
Q2603103,Ecuador,,,,,,
Q2603103,Colombia,Nariño Department,Q230217,,,,
Q2603103,Ecuador,Carchi Province,Q321729,,,,
Q2603103,Ecuador,Esmeraldas,Q335526,,,,
Q29579,,,,27.5,81.5,,
Q29579,India,,,,,,
Q29579,Nepal,,,,,,
Q29579,India,Bihar,Q1165,,,,
Q29579,India,Delhi,Q1353,,,,
Q29579,British India,Delhi,Q1353,,,,
Q29579,Mughal Empire,Delhi,Q1353,,,,
Q29579,Sur Empire,Delhi,Q1353,,,,
Q29579,Mughal Empire,Delhi,Q1353,,,,
Q29579,Delhi Sultanate,Delhi,Q1353,,,,
Q29579,Ghurid Empire,Delhi,Q1353,,,,
Q29579,Chahamanas of Shakambhari,Delhi,Q1353,,,,
Q29579,Tomara dynasty,Delhi,Q1353,,,,
Q29579,India,Madhya Pradesh,Q1188,,,,
Q29579,India,Uttar Pradesh,Q1498,,,,
Q29579,Nepal,Bheri Zone,Q9060,,,,
